"id","condition_uuid","condition","created_at","updated_at","deleted_at"
"74","cystfibz0p","Cystic Fibrosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"75","06muszapxx","Muscular Dystrophy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"76","2olcdfghy6","Color Blindness","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"77","42hllhxxer","Hearing Loss","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"78","ee839b0fe9","Abdominal Pain","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"79","cdfc9e6ae0","Abdominal Pregnancy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"80","70b79076e3","Abortion","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"81","4bc98eece4","Abscess","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"82","50d07a11e0","Acid Reflux (GERD)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"83","41c51f8cfc","Acne","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"84","3ea3d15ba9","Acne Rosacea","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"85","4b81f2fdda","Acoustic Neuroma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"86","abfb271bd8","Acupuncture","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"87","4f9d96c461","Acute Bronchitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"88","bbb0c1237d","Acute Lymphoblastic Leukemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"89","ec42211dff","Acute Myeloblastic Leukemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"90","03aeead786","Acute Pancreatitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"91","b53f68a633","Acute Respiratory Distress Syndrome (ARDS)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"92","f3cdb74701","Addison Disease (Adrenal Insufficiency)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"93","d5534af819","Adenoidectomy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"94","e556c3f4d8","Adenoma (Benign Tumors)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"95","8b5e65b08b","Adhesions","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"96","0ef4bb9b98","Adrenal Gland Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"97","34e25e7fc0","Adrenal Gland Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"98","d9116c210a","Agoraphobia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"99","0bd994a7bb","AIDS (HIV/AIDS)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"100","d3448898f6","Alcoholism/Alcohol Abuse","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"101","650bfdf2a7","Allergic Bronchpulmonary Aspergillosis (ABPA)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"102","fc209c31f4","Allergic Rhinitis (Allergy)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"103","2c731d3075","Alpha-1 Antitrypsin Deficiency","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"104","8cb6fd4eb1","Alzheimer's Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"105","79b012c0ec","Amblyopia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"106","b7cdd02ae7","Amenorrhea","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"107","daa035d059","Amnesia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"108","930546d753","Amputation","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"109","2fcb580a24","Amyloidosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"110","eb46cb8e71","Amyotrophic Lateral Sclerosis (ALS)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"111","4f5cd1f8c4","Anal Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"112","1608399f46","Anal Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"113","9010118c56","Anemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"114","c4bc6228a3","Anemia Thalassemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"115","455d05c9f2","Anencephaly (Neural Tube Defects)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"116","4b5962a62c","Aneurysms","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"117","1e75bb7f73","Angina","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"118","a2f7ddc8d6","Ankle Injuries and Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"119","698d34b923","Ankylosing Spondylitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"120","e7610bd24d","Anorexia Nervosa (Eating Disorder)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"121","07cd942843","Anosmia (Taste and Smell Disorder)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"122","283a05395f","Anterior Cruciate Ligament Injury (Knee Injury)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"123","2178f4cae0","Aortic Aneurysm","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"124","bacbdcfba4","Aortic Stenosis (Heart Valve Diseases)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"125","b4c99291f9","Aphasia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"126","772182429d","Aplastic Anemia (Fanconi Anemia)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"127","ec018b6878","Appendicitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"128","2fd5dca086","ARDS (Respiratory Failure)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"129","3718bdafaa","Arm Injury","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"130","4ab8acf9a2","Arnold-Chiari Malformation (Chiari Malformation)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"131","be1c675bd9","Arteriosclerosis (Atherosclerosis)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"132","e705a243df","Arteriovenous Malformations","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"133","f5e3bf84e4","Arthritis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"134","749df3d111","Aseptic Meningitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"135","6ad0fd8cb9","Asperger Syndrome (Autism Spectrum Disorder)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"136","4642eb9a23","Aspergillosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"137","9435f27779","Asthma (in Child)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"138","a9a9784c07","Asthma (Bronchial Asthma)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"139","a3212fa1fa","Astigmatism","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"140","ae3cb3d803","Ataxia (Balance/movement problems)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"141","d6fe3a3bc5","Ataxia Telangiectasia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"142","c96611eb49","Atherosclerosis (Artery plaque buildup)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"143","38da2c4567","Athlete's Foot","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"144","80ca64cb25","Atrial Fibrillation","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"145","ee46984d41","Atrophic Vaginitis (Vaginal Disease)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"146","f24b02ebde","Attention Deficit Hyperactivity Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"147","067a4823ff","Auditory Tumor (Acoustic Neuroma)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"148","e50d132e5b","Autism","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"149","7a4b6aaff9","Autoimmune Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"150","0f4c9b1f0b","Autoinflammatory Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"151","839d73d15f","Autonomic Nervous System Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"152","d9952f7507","Avian Influenza (Bird Flu )","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"153","92fe3266c7","AVM (Arteriovenous Malformation)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"154","dc182bfb53","Back Pain","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"155","e4c63ebfb8","Bacterial (Haemophilus) Infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"156","b6187a94ee","Bacterial Infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"157","a65231a898","Bacterial Vaginosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"158","5381ba9614","Bad Breath","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"159","55d6411009","Baker's Cyst (Knee Injuries)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"160","981f46f270","Balance Problems","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"161","55bc558076","Balance/fall problem","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"162","a0d2933871","Balanitis (Penis Disorders )","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"163","a535be42b6","Bariatric Surgery (Weight Loss Surgery)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"164","a0f297c2d0","Barotrauma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"165","d530e0f1b1","Barrett's Esophagus Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"166","2243df06f2","Basal Cell Carcinoma (Skin Cancer)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"167","ab43dd3bbb","Bedbugs","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"168","6910e13cf8","Bedsores (Pressure Sores)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"169","c4e1a1ffae","Bedwetting","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"170","336470ff14","Bee Sting","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"171","5bc89c7772","Behcet's Syndrome","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"172","3c33183b9f","Belching (Gas)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"173","93abd693b4","Bell's Palsy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"174","293b9bd175","Benign Prostatic Hypertrophy (Enlarged Prostate (BPH))","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"175","c140bc84be","Benign Tumors","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"176","a68db0e67b","Bereavement","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"177","668bc98609","Bile Duct Cancer (Cholangiocarcinoma)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"178","aa231baac8","Bile Duct Diseases (Cholangitis)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"179","8b2569f106","Biliary Cirrhosis (Bile Duct Disease)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"180","e59f35cef1","Biliary Tract Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"181","e6c489c543","Binge Drinking (Alcohol Abuse)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"182","86aa543ccc","Bipolar Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"183","f8b4f30ac4","Bird Flu","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"184","bf30f796ea","Birth Control","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"185","4fb8cd2dc9","Birth Defects","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"186","4c3272a0b8","Birth Injuries (Childbirth Problems)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"187","9feab317a2","Birthmark","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"188","a7ad2dabb5","Bladder Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"189","e6ad1c64f1","Bladder Diseases","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"190","8d3a68ce06","Bladder Infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"191","75145f4394","Bleeding","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"192","bb655897ca","Bleeding Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"193","b174aec966","Bleeding Stroke (Cerebral Hemorrhage)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"194","d7fe74d1d4","Blepharospasm (Eyelid Disorders)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"195","3fc083127a","Blindness","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"196","7e2656b467","Blood Clots","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"197","66f3c712f1","Blood Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"198","8e3f919729","Blood Platelet Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"199","96909e89fb","Blood Poisoning see Sepsis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"200","b08935ab9c","Blood vessel (Vascular) Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"201","4e038067fc","Body Lice","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"202","6cfc71169c","Bone Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"203","a60eb28779","Bone Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"204","d7bedc2877","Bone Infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"205","bfce1c3a22","Bone Marrow Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"206","7021676c91","Botanicals see Herbal Medicine","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"207","0bbe7803ef","Botox","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"208","2f62027625","Botulinum Toxin","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"209","9bbe87b6a3","Botulism","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"210","782e8e4dae","Bowel Incontinence","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"211","7129f1861c","Bowel Movement problems","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"212","700041d4d2","Bowel Obstruction (constipation)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"213","e099c3dc61","BPH (Enlarged Prostate (BPH))","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"214","989634ccec","Braces (Orthodontia)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"215","e830904c13","Brachial Plexus Injury","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"216","13eb6242a0","Brain Aneurysm","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"217","3ec2b8994b","Brain Blood Clot (Stroke)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"218","3fd8c60ae7","Brain Cancer/Brain Tumors","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"219","d612a6aff0","Brain Diseases","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"220","25433d6d5b","Brain Hemorrhage (Bleeding Stroke)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"221","86dc6f9516","Brain Malformation","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"222","189a0219ac","Brain Tumor","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"223","fa55bad5b4","Breast Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"224","f4c24be5be","Breast Cancer, Male","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"225","c33b83fddf","Breast Diseases","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"226","d5c40d5934","Breast Diseases (Non Cancerous)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"227","80421bec44","Breast Implants (Breast Reconstruction)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"228","8c265e06c2","Breast Reconstruction","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"229","5090989483","Breast Reduction Surgery","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"230","82ababbbf1","Breastfeeding","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"231","22a78ef569","Breathing Problems","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"232","1708b60455","Broken Bone (Fracture)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"233","a2dc548d77","Bronchial Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"234","ef2fe44371","Bronchiectasis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"235","7c34c95a8c","Bronchiolitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"236","a94f477290","Bruise (Hematoma)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"237","e41834799e","Bruise easily","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"238","7a1fbe90e9","Bruxism (Teeth Grinding)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"239","f33d3cdd99","Bubonic Plague infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"240","3f2104d0a2","Bunion (Toe inflammatory Disorder)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"241","98c65d3c19","Burns","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"242","43c7418d4b","Bursitis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"243","2f1e6ea0ea","C-Section (Cesarean Section)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"244","f79ad310b1","C. diff. Infection (Clostridium Difficile Infection)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"245","56abadd29d","Campylobacter Infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"246","88c18c516f","Canavan Disease (Leukodystrophies)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"247","0293738c9d","Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"248","f4ddb02907","Canker Sores","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"249","abc7e2f81d","Cannabis Abuse (Marijuana)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"250","341550ea17","Carcinoid Tumors","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"251","cd696bee47","Carcinoma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"252","dd1adb11c3","Cardiomyopathy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"253","8195ed1179","Carotid Artery Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"254","1ceee4d131","Carotid Endarterectomy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"255","a6ab68022e","Carpal Tunnel Syndrome","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"256","7de3517d5d","Cartilage Disorder (Costochondriti)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"257","6f98a900d2","Cat Scratch Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"258","6d54e090ea","Cataract","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"259","fb7f400c0e","Cavities (Tooth Decay)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"260","f4ad44c82f","Celiac Disease/Nontropical Sprue","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"261","85149251","Cellulitis - skin infection","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"262","2bd3bf17ba","Cerebellar Degeneration","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"263","195eee71ee","Cerebellar Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"264","5b996fe529","Cerebral Palsy","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"265","ace58af77a","Cervical Cancer","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"266","a9717f4384","Cervical Dysplasia (Cervix Disorders)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"267","82600bf29d","Cervix Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"268","05e0537baa","Cesarean Section","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
