"id","medicine_uuid","medicine","created_at","updated_at","deleted_at"
"16","ef867ccb39","4LIFE ENUMMI PROTECTIVE DAY MOISTURIZER SPF-15","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","7d86855e02","5% BP FACE AND BODY WASH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","a180ca8e53","60 SECOND TASTE BUBBLEGUM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","f274ef353c","60 SECOND TASTE CHOCOLATE VANILLA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","374dc7be4d","60 SECOND TASTE GROOVY GRAPE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","d0004ba6a5","60 SECOND TASTE MARSHMALLOW","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","c4e37eccf9","60 SECOND TASTE MINT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","82d17e2aa9","60 SECOND TASTE ORANGE TWIST","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","cb67ac2f20","60 SECOND TASTE STRAWBERRY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","938f832059","7 SELECT DAY TIME RELIEF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","bbdca79225","7 SELECT MIGRAINE FORMULA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","b5b22a9f8f","7 SELECT NIGHT TIME RELIEF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","2f815ab222","7 SELECT NIGHT TIME SEVERE COLD, COUGH AND FLU","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","631bfd40ff","70%","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","2a838f51bc","8 HOUR PAIN RELIEF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","ba6a900c3d","-MOP 8.00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","f877c69305","A 50% ISOPROPYL RUBBING ALCOHOL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","b2bc157bf8","A AND D DIAPER RASH AND SKIN PROTECTANT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","00e7e90c21","A AND D FIRST AID","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","87cab7580d","A AND D ORIGINAL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","25e564e2d1","A BIT HIPPY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","f5dd78f91f","A-HYDROCORT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","a9dd9d584b","A-METHAPRED","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","68911ebbd7","A. DUST","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","0b3f5272c4","ABACAVIR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","27a9703a6d","ABC ARBONNE BABY CARE LITTLE BUNDLES SET","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","ad2b0e976d","ABELCET","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","e00583bfb3","ABELLA COLOR SHADE SPF 35 DARK","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","63c206b357","ABELLA COLOR SHADE SPF 35 EBONY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","59cb1f461b","ABELLA COLOR SHADE SPF 35 LIGHT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","2022b61552","ABELLA COLORSHADE SPF 35 MEDIUM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","b3e210d36f","ABILIFY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","99a39bcbf2","ABILIFY MAINTENA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","87b72d6ccb","ABLAVAR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","8edb45accc","ABRAXANE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","cd2fdc2ee2","ABREVA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","de905828eb","ABSORBINE JR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","12a58ee1c7","ABSORBINE JR PLUS ULTRA STRENGTH PAIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","618fc4c44a","ABSORICA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","122ba1e8e7","ABSTRAL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","6f1f5dba0e","AC CLEAR TREATMENT MASK","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","c51b934f28","ACAMPROSATE CALCIUM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","3128d7b1a6","ACANYA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","8efde8799c","ACARBOSE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","2edd15938c","ACCLEAN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","4c38edb169","ACCLEAN CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"62","95d2320181","ACCLEAN PLUS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","e78dd0beec","ACCOLATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","a475a3ed32","ACCUPRIL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","5985e67439","ACCURETIC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","fb07f9bca4","ACD A","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","f96bd6f3b2","ACELLA HYDROCORTISONE ACETATE - PRAMOXINE SINGLES","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","f776662891","ACEON","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","b4301a8387","ACETA-GESIC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","aaa941edd8","ACETADOTE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","b056ed0b7d","ACETALDEHYDE PHENOLIC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","0e69aec484","ACETAMINOPHEN 325 MG","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","e1cc017d92","ACETAMINOPHEN 500 MG","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","175f1ceda4","ACETAMINOPHEN EXTENDED RELEASE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","534bd33c0f","ACETAMINOPHEN JUNIOR STRENGTH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","cd3e7cacd6","ACETAMINOPHEN PM EXTRA STRENGTH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","7441fd338e","ACETAMINOPHEN WITH CODEINE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"78","47141ba019","ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"79","9487cdd31d","ACETAZOLAMIDE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"80","9c89a8e431","ACHROMYCIN V","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"81","11dba03c11","ACID CONTROLLER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"82","dd9de30766","ACID CONTROLLER ORIGINAL STRENGTH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"83","ba9fdb975a","ACID REDUCER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"84","9f3f1c85e8","ACID REDUCER REGULAR STRENGTH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"85","928d41815a","ACIPHEX","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"86","431e02d22f","ACIPHEX SPRINKLE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"87","4ad8f1f61a","ACLOVATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"88","2dfda669ce","ACNE CONTROL OIL-FREE CLEANSING","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"89","19eb539e13","ACNE PIMPLE MASTER PATCH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"90","31fad224c2","ACNE PRONE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"91","0E+00","ACNE SERUM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"92","c1c2b1c82a","ACNE TONER ACNE CLEARING SYSTEM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"93","441fca7c2f","ACNE WASH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"94","60d6e34214","ACNEFREE CLEAR SKIN TREATMENTS 24 HOUR ACNE CLEARING SYSTEM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"95","6d3ac73a00","ACNEFREE CLEAR SKIN TREATMENTS 24 HOUR SEVERE ACNE CLEARING SYSTEM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"96","a9a306e3e8","ACNEFREE CLEAR SKIN TREATMENTS ADVANCED DEEP CLEANSING DUO","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"97","f020021242","ACNEFREE OIL-FREE ACNE CLEANSER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"98","9f61389482","ACNEFREE SEVERE TERMINATOR MAXIMUM STRENGTH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"99","4.087188E+74","ACNEFREE THERAPEUTIC SULFUR MASK","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"100","34c5e795e3","ACTEMRA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"101","25d33b472a","ACTHREL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"102","74ae536ade","ACTICLATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"103","b604ef01ca","ACTICON","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"104","c06b0262ac","ACTIGALL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"105","f39af72f37","ACTIMMUNE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"106","559950f38d","ACTIOGEN ACNE DOTS TREATMENT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"107","11f6547fa7","ACTIQ","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"108","2fc0657563","ACTIVASE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"109","e87359464e","ACTIVE CLEAR FACIAL WASH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"110","fb85005540","ACTIVE FE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"111","fcc1bddee5","ACTIVE OB","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"112","d13fce4a38","ACTIVE-MEDICATED SPECIMEN COLLECTION KIT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"113","d2e208eaf8","ACTIVE-PAC WITH GABAPENTIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"114","61657485db","ACTIVELLA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"115","f981850a1f","ACTONEL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"116","85174f1591","ACTOPLUS MET","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"117","1a263aa4d3","ACTOPLUS MET XR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"118","f0dfc65a22","ACTOS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"119","043b512b73","ACULAR LS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"120","ead59b0923","ACUVAIL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"121","448406f467","ACYCLOVIR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"122","9d789eea30","ACZONE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"123","f38ba43f84","ADAGEN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"124","1776d49b51","ADALAT CC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"125","72941ee2bd","ADAPTASUN SUN CARE FACE SPF 15","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"126","acef95ffce","ADAPTASUN SUN CARE SEA AND TROPICS FACE SPF 25","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"127","b765572998","ADASUVE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"128","061e53f71b","ADAZIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"129","2c1dff468a","ADCETRIS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"130","d2d9fc34d7","ADCIRCA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"131","179cf46d19","ADDAMEL N","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"132","bdc3eecd84","ADDED STRENGTH PAIN RELIEVER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"133","6976a25af4","ADDERALL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"134","8177196baf","ADDERALL XR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"135","f0d7ea9954","ADDYI","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"136","f35399889d","ADEMPAS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"137","e6ba6396c1","ADENOSINE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"138","94c8d0b917","ADIPEX-P","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"139","97c9ea5902","ADOXA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"140","133f44b5dc","ADRENACLICK","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"141","3d6be9c1b9","ADRENALIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"142","2e611f5b8a","ADREVIEW","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"143","626acb4823","ADRUCIL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"144","3277b40ae4","ADSOL RED CELL PRESERVATION SOLUTION SYSTEM IN PLASTIC CONTAINER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"145","ca7003ed34","ADULT COUGH AND CHEST CONGESTION RELIEF DM NON DROWSY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"146","47e07e1d56","ADULT COUGH RELIEF DM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"147","158fd997f7","ADULT INFUVITE MULTIPLE VITAMINS FOR INFUSION","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"148","c2d7a316f5","ADULT INFUVITE MULTIPLE VITAMINS FOR INFUSION PHARMACY BULK","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"149","aad669bdb4","ADULT PAIN RELIEVER/FEVER REDUCER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"150","880d2053c2","ADULT TUSSIN COUGH AND CHEST CONGESTION DM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"151","50b74a5c58","ADULT TUSSIN COUGH AND CHEST CONGESTION DM SUGAR FREE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"152","d6de0260d9","ADULT TUSSIN COUGH GELS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"153","47a52ed25b","ADULTS LOW STRENGTH ASPIRIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"154","69a1d89e38","ADVAIR DISKUS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"155","7c4ff9344a","ADVAIRDISKUS DISKUS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"156","3424fca5b7","ADVANCED ACNE WASH","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"157","c21202ef2b","ADVANCED DNA MEDICATED COLLECTION","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"158","195f0bfae2","ADVANCED DNA MEDICATED COLLECTION KIT II","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"159","c00268bbd3","ADVANCED DNA MEDICATED COLLECTION KIT III","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"160","aaf8c9827f","ADVANCED FORMULA LIP MOISTURIZER SUNSCREEN SPF 25","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"161","cf179f6ac1","ADVICOR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"162","17adef0485","ADVIL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"163","1efa98df11","ADVIL ALLERGY AND CONGESTION RELIEF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"164","c932ed69c2","ADVIL ALLERGY SINUS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"165","4ee61ab8ab","ADVIL SINUS CONGESTION AND PAIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"166","ce07e46774","AFEDITAB CR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"167","ea4ea5febf","AFINITOR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"168","7.1296978E+15","AFREZZA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"169","a015ad343f","AFRICA BIRD HOMME BB MOISTURIZER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"170","eca4b33a3c","AFRIN NO DRIP EXTRA MOISTURIZING","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"171","be32e2f140","AFRIN NO DRIP ORIGINAL PUMP MIST","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"172","9ca4189d40","AFRIN NO DRIP SEVERE CONGESTION","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"173","565c659a3b","AGE DEFENSE SNAIL BB CREAM","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"174","3903665383","AGE REVISION SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"175","8170be6fa0","AGGRASTAT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"176","ff24149d4c","AGGRENOX","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"177","b87357cddb","AGRYLIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"178","906aa8481e","AHA 7 WHITEHEAD POWER LIQUID","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"179","76f907bf14","AIM CAVITY PROTECTION WITH WHITENING","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"180","f6f747a9de","AIR COTTON MAKE UP BASE 01 MINT SPF 30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"181","01392feacc","AIR COTTON MAKE-UP BASE 02 SPF30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"182","e550cc59c0","AIR COTTON MAKEUP BASE 02 SPF30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"183","291d8f6d4a","AIRACOF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"184","49bf91c483","AK-FLUOR","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"185","147624dd6c","AK-PENTOLATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"186","581afd4c75","AK-POLY-BAC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"187","35e3e87e7d","AKTEN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"188","36ac3b5a0c","AKYNZEO","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"189","3152eac57c","AL0038100 ALBA HW SUNSCREEN COCONUT MILK SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"190","6e27308bc4","AL0038100 ALBA VE SUNSCREEN FRAGRANCE FREE SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"191","837208b530","AL0038200 ALBA VE SUNSCREEN KIDS SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"192","f0ff645d7b","ALA QUIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"193","59a9681237","ALA SCALP","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"194","1c73fb458f","ALA-C CELL CLINIC SOLUTION","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"195","5f47a28df3","ALA-C SNAIL CELL REPARING ESSENCE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"196","575a4a5502","ALACORT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"197","89345f5a12","ALAVERT ALLERGY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"198","735c9b14c5","ALAWAY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"199","626586084b","ALBA SUNBLOCK MINERAL ALOE VANILLA SPF 30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"200","25e4aa2b99","ALBENZA","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"201","be818bd837","ALBUTEROL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"202","3888a21e5c","ALBUTEROL SULFATE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"203","832a16ad0d","ALBUTEROL SULFATE ER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"204","2211816213","ALCOHOL","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"205","e4f424890e","ALCOHOL AND DEXTROSE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"206","fafcca7498","ALCOHOL SWAB STICKS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"207","8b6453b01f","ALCORTIN","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
